date	inst	party	value
2013-09-15	Emnid	gru	10.0
2013-09-15	Emnid	cdu	39.0
2013-09-15	Emnid	afd	4.0
2013-09-15	Emnid	lin	9.0
2013-09-15	Emnid	son	4.0
2013-09-15	Emnid	fdp	5.0
2013-09-15	Emnid	rep	
2013-09-15	Emnid	pir	3.0
2013-09-15	Emnid	spd	26.0
2013-09-13	FGW	gru	11.0
2013-09-13	FGW	cdu	40.0
2013-09-13	FGW	afd	4.0
2013-09-13	FGW	lin	8.0
2013-09-13	FGW	son	5.0
2013-09-13	FGW	fdp	6.0
2013-09-13	FGW	rep	
2013-09-13	FGW	pir	
2013-09-13	FGW	spd	26.0
2013-09-12	Infratestdimap	gru	10.0
2013-09-12	Infratestdimap	cdu	40.0
2013-09-12	Infratestdimap	afd	2.5
2013-09-12	Infratestdimap	lin	8.0
2013-09-12	Infratestdimap	son	4.0
2013-09-12	Infratestdimap	fdp	5.0
2013-09-12	Infratestdimap	rep	
2013-09-12	Infratestdimap	pir	2.5
2013-09-12	Infratestdimap	spd	28.0
2013-09-11	Forsa	gru	9.0
2013-09-11	Forsa	cdu	39.0
2013-09-11	Forsa	afd	3.0
2013-09-11	Forsa	lin	10.0
2013-09-11	Forsa	son	5.0
2013-09-11	Forsa	fdp	6.0
2013-09-11	Forsa	rep	
2013-09-11	Forsa	pir	3.0
2013-09-11	Forsa	spd	25.0
2013-09-10	GMS	gru	11.0
2013-09-10	GMS	cdu	40.0
2013-09-10	GMS	afd	3.0
2013-09-10	GMS	lin	9.0
2013-09-10	GMS	son	4.0
2013-09-10	GMS	fdp	5.0
2013-09-10	GMS	rep	
2013-09-10	GMS	pir	3.0
2013-09-10	GMS	spd	25.0
2013-09-08	Emnid	gru	11.0
2013-09-08	Emnid	cdu	40.0
2013-09-08	Emnid	afd	3.0
2013-09-08	Emnid	lin	9.0
2013-09-08	Emnid	son	4.0
2013-09-08	Emnid	fdp	5.0
2013-09-08	Emnid	rep	
2013-09-08	Emnid	pir	3.0
2013-09-08	Emnid	spd	25.0
2013-09-05	Infratestdimap	gru	10.0
2013-09-05	Infratestdimap	cdu	41.0
2013-09-05	Infratestdimap	afd	3.0
2013-09-05	Infratestdimap	lin	8.0
2013-09-05	Infratestdimap	son	6.0
2013-09-05	Infratestdimap	fdp	5.0
2013-09-05	Infratestdimap	rep	
2013-09-05	Infratestdimap	pir	
2013-09-05	Infratestdimap	spd	27.0
2013-09-05	FGW	gru	10.0
2013-09-05	FGW	cdu	41.0
2013-09-05	FGW	afd	3.0
2013-09-05	FGW	lin	8.0
2013-09-05	FGW	son	6.0
2013-09-05	FGW	fdp	6.0
2013-09-05	FGW	rep	
2013-09-05	FGW	pir	
2013-09-05	FGW	spd	26.0
2013-09-04	Forsa	gru	11.0
2013-09-04	Forsa	cdu	40.0
